Row,Column
69,108
69,110
69,111
69,112
69,116
69,117
69,119
69,123
69,124
69,125
69,126
69,127
69,129
69,130
69,131
69,132
69,132
69,133
70,14
70,15
70,79
70,80
70,88
70,89
70,90
70,102
70,103
70,104
70,105
70,106
70,107
70,108
70,110
70,111
70,112
70,116
70,117
70,118
70,119
70,120
70,123
70,124
70,125
70,125
70,126
70,127
70,129
70,130
70,131
70,132
71,14
71,15
71,16
71,17
71,18
71,88
71,89
71,90
71,102
71,104
71,105
71,107
71,108
71,109
71,110
71,111
71,112
71,116
71,117
71,118
71,119
71,120
71,122
71,123
71,124
71,125
71,125
71,126
71,127
72,14
72,15
72,16
72,17
72,18
72,19
72,20
72,81
72,82
72,88
72,89
72,90
72,101
72,102
72,107
72,108
72,118
72,119
72,125
72,126
72,127
73,14
73,15
73,16
73,17
73,18
73,19
73,20
73,21
73,22
73,23
73,24
73,25
73,26
73,27
73,28
73,29
73,30
73,81
73,82
73,88
73,89
73,90
73,101
73,107
73,108
73,126
73,127
74,15
74,16
74,17
74,18
74,19
74,20
74,21
74,22
74,23
74,24
74,25
74,26
74,27
74,28
74,29
74,30
74,81
74,82
74,82
74,83
74,84
74,88
74,89
74,90
74,96
74,97
74,98
74,100
74,101
74,102
74,103
74,104
75,15
75,16
75,17
75,18
75,19
75,20
75,21
75,22
75,23
75,24
75,25
75,26
75,27
75,28
75,29
75,30
75,31
75,32
75,81
75,81
75,82
75,82
75,83
75,84
75,88
75,89
75,96
75,97
75,98
75,100
75,101
75,102
75,103
75,104
75,105
75,106
75,120
76,15
76,16
76,17
76,18
76,19
76,20
76,21
76,22
76,23
76,24
76,25
76,26
76,27
76,28
76,29
76,30
76,31
76,32
76,34
76,35
76,36
76,37
76,38
76,80
76,81
76,82
76,83
76,84
76,88
76,89
76,96
76,97
76,98
76,99
76,100
76,100
76,101
76,102
76,103
76,104
76,105
76,106
76,107
76,108
76,118
76,119
76,120
77,16
77,17
77,18
77,19
77,20
77,21
77,22
77,23
77,24
77,25
77,26
77,27
77,28
77,29
77,30
77,31
77,32
77,33
77,34
77,35
77,36
77,37
77,38
77,39
77,83
77,88
77,89
77,96
77,97
77,98
77,99
77,100
77,100
77,101
77,102
77,103
77,104
77,105
77,106
77,107
77,108
77,109
77,118
77,119
77,120
78,16
78,17
78,18
78,19
78,20
78,21
78,22
78,23
78,24
78,25
78,26
78,27
78,28
78,29
78,30
78,31
78,32
78,33
78,34
78,35
78,36
78,37
78,38
78,39
78,88
78,89
78,96
78,97
78,98
78,99
78,100
78,100
78,101
78,102
78,103
78,104
78,105
78,106
78,107
78,108
78,109
79,16
79,17
79,18
79,19
79,20
79,21
79,22
79,23
79,24
79,25
79,26
79,27
79,28
79,29
79,30
79,31
79,32
79,33
79,34
79,35
79,36
79,37
79,38
79,39
79,88
79,89
79,96
79,97
79,98
79,99
79,100
79,100
79,101
79,102
79,103
79,104
79,105
79,106
79,107
79,108
79,109
80,17
80,18
80,19
80,20
80,21
80,23
80,24
80,25
80,26
80,27
80,28
80,29
80,30
80,31
80,32
80,33
80,34
80,35
80,36
80,37
80,38
80,39
80,43
80,88
80,89
80,96
80,97
80,98
80,99
80,103
80,104
80,105
80,106
80,107
80,108
80,109
81,17
81,18
81,19
81,20
81,21
81,22
81,23
81,24
81,25
81,26
81,27
81,28
81,29
81,30
81,31
81,32
81,33
81,34
81,35
81,36
81,37
81,38
81,39
81,42
81,43
81,44
81,45
81,46
81,47
81,48
81,49
81,88
81,89
81,90
81,91
81,92
81,93
81,94
81,95
81,96
81,97
81,98
81,99
81,103
81,104
81,105
81,106
81,107
81,108
82,18
82,19
82,20
82,21
82,22
82,23
82,24
82,25
82,26
82,27
82,28
82,29
82,30
82,31
82,32
82,33
82,34
82,35
82,36
82,37
82,38
82,39
82,42
82,43
82,44
82,45
82,46
82,47
82,48
82,49
82,50
82,51
82,52
82,53
82,54
82,87
82,88
82,89
82,90
82,91
82,92
82,93
82,94
82,95
82,96
82,97
82,98
82,99
82,103
82,104
82,105
82,106
82,107
82,108
83,18
83,19
83,20
83,21
83,22
83,23
83,24
83,25
83,27
83,28
83,29
83,30
83,31
83,32
83,33
83,34
83,35
83,36
83,37
83,38
83,39
83,42
83,43
83,44
83,45
83,46
83,47
83,48
83,49
83,50
83,51
83,52
83,53
83,54
83,55
83,56
83,87
83,88
83,89
83,90
83,91
83,92
83,93
83,94
83,95
83,96
83,97
83,98
83,99
83,100
83,102
83,103
83,104
83,105
83,106
83,107
83,108
83,109
83,110
83,111
83,112
83,113
83,114
84,18
84,19
84,20
84,21
84,22
84,23
84,24
84,25
84,26
84,27
84,28
84,29
84,30
84,31
84,32
84,33
84,34
84,35
84,36
84,37
84,38
84,39
84,41
84,42
84,43
84,44
84,45
84,46
84,47
84,48
84,49
84,50
84,51
84,52
84,53
84,54
84,55
84,56
84,57
84,58
84,59
84,87
84,88
84,89
84,90
84,91
84,92
84,93
84,94
84,95
84,96
84,97
84,98
84,99
84,100
84,100
84,101
84,102
84,102
84,103
84,104
84,104
84,105
84,106
84,107
84,107
84,108
84,108
84,109
84,109
84,110
84,110
84,111
84,111
84,112
84,112
84,113
84,113
84,114
85,19
85,20
85,21
85,22
85,23
85,24
85,25
