Node,SP,Layer,Row,Column,Stage,Cond,Rbott
12606,58,1,77,142,471.497197265625,Kriv1,470.877197265625
12770,58,1,78,142,471.42047607421875,Kriv1,470.80047607421875
12771,58,1,78,143,471.51187622070313,Kriv1,470.8918762207031
12935,58,1,79,143,471.68924438476563,Kriv1,471.0692443847656
13099,58,1,80,143,471.80655395507813,Kriv1,471.1865539550781
13263,58,1,81,143,471.7344714355469,Kriv1,471.1144714355469
13264,58,1,81,144,471.98505126953125,Kriv1,471.36505126953125
13428,58,1,82,144,472.36795532226563,Kriv1,471.7479553222656
13592,58,1,83,144,472.5354968261719,Kriv1,471.9154968261719
13756,58,1,84,144,472.51724731445313,Kriv1,471.8972473144531
13920,58,1,85,144,472.51468383789063,Kriv1,471.8946838378906
14084,58,1,86,144,472.58099853515625,Kriv1,471.96099853515625
14248,58,1,87,144,472.65762817382813,Kriv1,472.0376281738281
14247,58,1,87,143,472.35074340820313,Kriv1,471.7307434082031
14411,58,1,88,143,472.3625231933594,Kriv1,471.7425231933594
14575,58,1,89,143,472.20203125,Kriv1,471.58203125
14739,58,1,90,143,471.98383056640625,Kriv1,471.36383056640625
14903,58,1,91,143,472.60907470703125,Kriv1,471.98907470703125
14902,58,1,91,142,472.6148425292969,Kriv1,471.9948425292969
15066,58,1,92,142,472.51700317382813,Kriv1,471.8970031738281
15230,58,1,93,142,472.8998767089844,Kriv1,472.2798767089844
15229,58,1,93,141,473.15643798828125,Kriv1,472.53643798828125
15393,58,1,94,141,473.475712890625,Kriv1,472.855712890625
15557,58,1,95,141,473.7325183105469,Kriv1,473.1125183105469
15556,58,1,95,140,473.84866821289063,Kriv1,473.2286682128906
15720,58,1,96,140,473.78497802734375,Kriv1,473.16497802734375
15719,58,1,96,139,474.01190673828125,Kriv1,473.39190673828125
15883,58,1,97,139,473.97760498046875,Kriv1,473.35760498046875
15882,58,1,97,138,474.1511279296875,Kriv1,473.5311279296875
16046,58,1,98,138,474.04559814453125,Kriv1,473.42559814453125
16045,58,1,98,137,474.0754443359375,Kriv1,473.4554443359375
16209,58,1,99,137,473.9772692871094,Kriv1,473.3572692871094
16208,58,1,99,136,473.7504626464844,Kriv1,473.1304626464844
16207,58,1,99,135,474.3193408203125,Kriv1,473.6993408203125
16371,58,1,100,135,473.60724365234375,Kriv1,472.98724365234375
16535,58,1,101,135,474.07120239257813,Kriv1,473.4512023925781
16534,58,1,101,134,473.87149536132813,Kriv1,473.2514953613281
16698,58,1,102,134,474.38202392578125,Kriv1,473.76202392578125
16697,58,1,102,133,474.1271716308594,Kriv1,473.5071716308594
16861,58,1,103,133,474.46329223632813,Kriv1,473.8432922363281
16860,58,1,103,132,474.24210083007813,Kriv1,473.6221008300781
17024,58,1,104,132,474.16254150390625,Kriv1,473.54254150390625
17188,58,1,105,132,474.3176013183594,Kriv1,473.6976013183594
17187,58,1,105,131,474.2390185546875,Kriv1,473.6190185546875
17351,58,1,106,131,475.0804187011719,Kriv1,474.4604187011719
17515,58,1,107,131,475.2521716308594,Kriv1,474.6321716308594
17514,58,1,107,130,474.5345202636719,Kriv1,473.9145202636719
17678,58,1,108,130,475.05878173828125,Kriv1,474.43878173828125
17842,58,1,109,130,475.2847644042969,Kriv1,474.6647644042969
18006,58,1,110,130,475.34802734375,Kriv1,474.72802734375
18005,58,1,110,129,474.56964599609375,Kriv1,473.94964599609375
18169,58,1,111,129,474.69989501953125,Kriv1,474.07989501953125
18333,58,1,112,129,475.16833984375,Kriv1,474.54833984375
18497,58,1,113,129,475.34344970703125,Kriv1,474.72344970703125
18661,58,1,114,129,475.5954638671875,Kriv1,474.9754638671875
18825,58,1,115,129,476.09122192382813,Kriv1,475.4712219238281
18824,58,1,115,128,475.1941882324219,Kriv1,474.5741882324219
18988,58,1,116,128,475.4255114746094,Kriv1,474.8055114746094
19152,58,1,117,128,474.9770556640625,Kriv1,474.3570556640625
19316,58,1,118,128,475.32950317382813,Kriv1,474.7095031738281
19480,58,1,119,128,475.448125,Kriv1,474.828125
19644,58,1,120,128,475.56937133789063,Kriv1,474.9493713378906
19808,58,1,121,128,475.7048083496094,Kriv1,475.0848083496094
19972,58,1,122,128,475.8091784667969,Kriv1,475.1891784667969
19971,58,1,122,127,475.5241442871094,Kriv1,474.9041442871094
20135,58,1,123,127,475.58170043945313,Kriv1,474.9617004394531
20299,58,1,124,127,475.7655993652344,Kriv1,475.1455993652344
20463,58,1,125,127,476.04047119140625,Kriv1,475.42047119140625
20462,58,1,125,126,475.8284655761719,Kriv1,475.2084655761719
20626,58,1,126,126,476.2497607421875,Kriv1,475.6297607421875
20790,58,1,127,126,476.18716918945313,Kriv1,475.5671691894531
20789,58,1,127,125,476.20425903320313,Kriv1,475.5842590332031
20953,58,1,128,125,476.37372314453125,Kriv1,475.75372314453125
20952,58,1,128,124,476.38953125,Kriv1,475.76953125
21116,58,1,129,124,476.55060302734375,Kriv1,475.93060302734375
21115,58,1,129,123,476.59683715820313,Kriv1,475.9768371582031
21279,58,1,130,123,476.4493151855469,Kriv1,475.8293151855469
