MSB_5,U6_333,GWM_3,GAR_05,U6_305,U8_1045,MPG_53,Poststrasse,U6_310,MPG_40,MPG_26,MPG_42,34
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
468.9333333,471.3972083,471.20875,473.8180417,476.0116667,476.9681667,477.0720833,478.160625,478.3208333,478.6433333,478.4232083,479.1207083,480.7262083
468.9174583,471.3792083,471.186625,473.8089583,476.0034167,476.9527917,477.05975,478.1500833,478.3007917,478.6275833,478.4101667,479.1065833,480.7095
468.9027083,471.364,471.1677917,473.7987083,475.9943333,476.9377083,477.0474583,478.14075,478.28375,478.6130417,478.3985833,479.0935417,480.693
468.9000417,471.3682083,471.1645833,473.7912917,475.9955833,476.9324167,477.0405417,478.13875,478.2814583,478.603,478.38825,479.0809583,480.676
468.891,471.362375,471.1445417,473.78125,475.9838333,476.918,477.0284167,478.1300417,478.2629583,478.5881667,478.375375,479.0681667,480.6602917
468.8830833,471.3537917,471.1275833,473.77025,475.9745417,476.9040833,477.0167083,478.1205,478.2445,478.5735417,478.363,479.0550417,480.6444583
468.91375,471.3977917,471.1835833,473.774375,476.0104167,476.9275417,477.0265417,478.1510417,478.2945833,478.5799583,478.36225,479.0445,480.6309583
468.9122083,471.390625,471.152625,473.7710417,475.9945,476.9155833,477.0191667,478.1444583,478.2766667,478.565625,478.3515,479.03575,480.620375
468.9033333,471.3797083,471.12925,473.7639583,475.9815417,476.9015,477.00725,478.1328333,478.250625,478.5506667,478.340125,479.0254583,480.6085417
468.89325,471.3639167,471.110375,473.7561667,475.9725,476.8883333,476.9965,478.1205,478.229,478.5367917,478.3279167,479.0145417,480.5967083
468.882375,471.3564167,471.0954167,473.7484167,475.9719167,476.880375,476.9867917,478.1118333,478.2155,478.5246667,478.3160833,479.0039167,480.5845417
468.896375,471.38,471.1254583,473.74775,475.9970833,476.9100833,476.9940833,478.140625,478.25775,478.5366667,478.3178333,479.000125,480.5795
469.0418333,471.5482083,471.295625,473.8477917,476.1561667,477.0805417,477.1464583,478.3027083,478.5975417,478.7083333,478.4411667,479.1251667,480.7235833
469.0345833,471.5193333,471.27225,473.9002917,476.1039167,477.0974583,477.167875,478.2849167,478.5529167,478.7335,478.4724583,479.1700417,480.7858333
469.0435833,471.5221667,471.2794583,473.927,476.1067917,477.1074583,477.176,478.2744167,478.5294583,478.7435417,478.4832083,479.1796667,480.7994167
